division,family,subfamily,tribe,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
Rhopalocera,Hesperiidae,Coeliadinae,,Badamia,exclamationis,,BROWN AWL,Badamia exclamationis,Fabricius,1775
Rhopalocera,Hesperiidae,Coeliadinae,,Hasora,mavis,,BANDED AWL,Hasora mavis,Evans,1934
Rhopalocera,Hesperiidae,Coeliadinae,,Bibasis,gomata,lorquini,BROWN AWL,Bibasis gomata lorquini,Mabille,1876
Rhopalocera,Hesperiidae,Coeliadinae,,Bibasis,oedipodea,paltra,BRANDED ORANGE AWLET,Bibasis oedipodea paltra,Evans,1949
Rhopalocera,Hesperiidae,Coeliadinae,,Choaspes,estrella,de,AWLKING,Choaspes estrella de,Jong,1980
Rhopalocera,Hesperiidae,Coeliadinae,,Hasora,badra,badra,COMMON AWL,Hasora badra badra,Moore,1857
Rhopalocera,Hesperiidae,Coeliadinae,,Hasora,chromus,chromus,COMMON BANDED AWL,Hasora chromus chromus,Cramer,1782
Rhopalocera,Hesperiidae,Coeliadinae,,Hasora,khoda,minsona,LARGE BANDED AWL,Hasora khoda minsona,Swinhoe,1907
Rhopalocera,Hesperiidae,Coeliadinae,,Hasora,mixta,mixta,BANDED AWL,Hasora mixta mixta,Mabille,1876
Rhopalocera,Hesperiidae,Coeliadinae,,Hasora,moestissima,moestissima,BANDED AWL,Hasora moestissima moestissima,Mabille,1876
Rhopalocera,Hesperiidae,Coeliadinae,,Hasora,schoenherr,chuza,YELLOW BANDED AWL,Hasora schoenherr chuza,Hewitson,1867
Rhopalocera,Hesperiidae,Coeliadinae,,Hasora,taminatus,padma,BANDED AWL,Hasora taminatus padma,Fruhstorfer,1911
Rhopalocera,Hesperiidae,Hesperiinae,,Acerbas,duris,duris,BANDED PALMER,Acerbas duris duris,Mabille,1883
Rhopalocera,Hesperiidae,Hesperiinae,,Aeromachus,musca,,SCRUB HOPPER,Aeromachus musca,Mabille,1876
Rhopalocera,Hesperiidae,Hesperiinae,,Aeromachus,plumbeola,,SCRUB HOPPER,Aeromachus plumbeola,C.& R.Felder,1867
Rhopalocera,Hesperiidae,Hesperiinae,,Aeromachus,pygmaeus,,Possibly PYGMY SCRUB HOPPER,Aeromachus pygmaeus,Fabricius,1775
Rhopalocera,Hesperiidae,Hesperiinae,,Ancistroides,nigrita,fumatus,CHOCOLATE DEMON,Ancistroides nigrita fumatus,Mabille,1876
Rhopalocera,Hesperiidae,Hesperiinae,,Baoris,oceia,,PAINTBRUSH SWIFT,Baoris oceia,Hewitson,1868
Rhopalocera,Hesperiidae,Hesperiinae,,Borbo,cinnara,,RICE SWIFT or FORMOSAN SWIFT,Borbo cinnara,Wallace,1866
Rhopalocera,Hesperiidae,Hesperiinae,,Erionota,thrax,alexandra,BANANA SKIPPER,Erionota thrax alexandra,Semper,1892
Rhopalocera,Hesperiidae,Hesperiinae,,Erionota,thrax,thrax,BANANA SKIPPER,Erionota thrax thrax,LINNAEUS,1767
Rhopalocera,Hesperiidae,Hesperiinae,,Erionota,torus,,ROUNDED BANANA SKIPPER,Erionota torus,Evans,1941
Rhopalocera,Hesperiidae,Hesperiinae,,Gangara,lebadea,guyi,BANDED RED EYE,Gangara lebadea guyi,TREADAWAY & NUYDA,1996
Rhopalocera,Hesperiidae,Hesperiinae,,Gangara,thyrsis,thyrsis,GIANT RED EYE,Gangara thyrsis thyrsis,Fabricus,1775
Rhopalocera,Hesperiidae,Hesperiinae,,Halpe,dante,luzona,ACE,Halpe dante luzona,Evans,1949
Rhopalocera,Hesperiidae,Hesperiinae,,Halpe,luteisquama,,ACE,Halpe luteisquama,Mabille,1876
Rhopalocera,Hesperiidae,Hesperiinae,,Halpe,mahapara,,ACE,Halpe mahapara,Fruhstorfer,1911
Rhopalocera,Hesperiidae,Hesperiinae,,Halpe,palawea,,ACE,Halpe palawea,Staudinger,1889
Rhopalocera,Hesperiidae,Hesperiinae,,Halpe,purpurascens,,ACE,Halpe purpurascens,DE JONG & TREADAWAY,1993
Rhopalocera,Hesperiidae,Hesperiinae,,Halpe,toxopea,,PALAWAN ACE,Halpe toxopea,EVANS,1932
Rhopalocera,Hesperiidae,Hesperiinae,,Hyarotis,adrastus,praba,TREE FLITTER,Hyarotis adrastus praba,MOORE,1866
Rhopalocera,Hesperiidae,Hesperiinae,,Koruthaialos,rubecula,luzonensis,NARROW-BANDED VELVET BOB,Koruthaialos rubecula luzonensis,Fruhstorfer,1910
Rhopalocera,Hesperiidae,Hesperiinae,,Koruthaialos,rubecula,ponta,NARROW-BANDED VELVET BOB,Koruthaialos rubecula ponta,EVANS,1949
Rhopalocera,Hesperiidae,Hesperiinae,,Matapa,aria,,COMMON REDEYE,Matapa aria,Moore,1866
Rhopalocera,Hesperiidae,Hesperiinae,,Notocrypta,feisthamelii,alinkara,SPOTTED DEMON,Notocrypta feisthamelii alinkara,Fruhstorfer,1911
Rhopalocera,Hesperiidae,Hesperiinae,,Notocrypta,paralysos,chunda,COMMON BANDED DEMON,Notocrypta paralysos chunda,FRUHSTORFER,1911
Rhopalocera,Hesperiidae,Hesperiinae,,Notocrypta,paralysos,volux,COMMON BANDED DEMON,Notocrypta paralysos volux,Mabille,1883
Rhopalocera,Hesperiidae,Hesperiinae,,Oriens,californica,,DARTLET,Oriens californica,Scudder,1872
Rhopalocera,Hesperiidae,Hesperiinae,,Oriens,fons,,DARTLET,Oriens fons,Evans,1949
Rhopalocera,Hesperiidae,Hesperiinae,,Oriens,gola,pseudolus,COMMON DARTLET,Oriens gola pseudolus,Mabille,1883
Rhopalocera,Hesperiidae,Hesperiinae,,Parnara,bada,borneana,ORIENTAL STRAIGHT SWIFT,Parnara bada borneana,Chiba & Eliot,1991
Rhopalocera,Hesperiidae,Hesperiinae,,Parnara,kawazoei,,STRAIGHT SWIFT,Parnara kawazoei,Chiba & Eliot,1991
Rhopalocera,Hesperiidae,Hesperiinae,,Pelopidas,agna,agna,COMMON SWIFT,Pelopidas agna agna,Moore,1866
Rhopalocera,Hesperiidae,Hesperiinae,,Pelopidas,mathias,mathias,SMALL BRANDED SWIFT,Pelopidas mathias mathias,Fabricius,1798
Rhopalocera,Hesperiidae,Hesperiinae,,Pirdana,hyela,hyela,GREEN-STRIPED PALMER,Pirdana hyela hyela,Hewitson,1867
Rhopalocera,Hesperiidae,Hesperiinae,,Potanthus,mingo,mingo,ZIGZAG BANDED DART,Potanthus mingo mingo,W.H.Edwards,1866
Rhopalocera,Hesperiidae,Hesperiinae,,Potanthus,pava,lesbia,YELLOW BAND DART,Potanthus pava lesbia,Evans,1934
Rhopalocera,Hesperiidae,Hesperiinae,,Potanthus,serina,,LARGE DART,Potanthus serina,PLOTZ,1883
Rhopalocera,Hesperiidae,Hesperiinae,,Prusiana,prusias,matinus,GRASS SKIPPER,Prusiana prusias matinus,Fruhstorfer,1911
Rhopalocera,Hesperiidae,Hesperiinae,,Psolos,fuligo,fuligo,COON or DUSKY PARTWING,Psolos fuligo fuligo,Mabille,1876
Rhopalocera,Hesperiidae,Hesperiinae,,Pyroneura,liburnia,liburnia,LANCER,Pyroneura liburnia liburnia,Hewitson,1868
Rhopalocera,Hesperiidae,Hesperiinae,,Pyroneura,liburnia,rosa,LANCER,Pyroneura liburnia rosa,DE JONG & TREADAWAY,1993
Rhopalocera,Hesperiidae,Hesperiinae,,Suada,albinus,,GRASS BOB,Suada albinus,Semper,1892
Rhopalocera,Hesperiidae,Hesperiinae,,Suada,catoleucos,,GRASS BOB,Suada catoleucos,STAUDINGER,1889
Rhopalocera,Hesperiidae,Hesperiinae,,Suastus,gremius,gremius,ORIENTAL PALM BOB or INDIAN PALM BOB,Suastus gremius gremius,Fabricius,1798
Rhopalocera,Hesperiidae,Hesperiinae,,Suastus,migreus,,PALM BOB,Suastus migreus,Semper,1892
Rhopalocera,Hesperiidae,Hesperiinae,,Suastus,minutus,scopas,SMALL PALM BOB,Suastus minutus scopas,Staudinger,1889
Rhopalocera,Hesperiidae,Hesperiinae,,Taractrocera,luzonensis,luzonensis,LUZON GRASS DART,Taractrocera luzonensis luzonensis,Staudinger,1889
Rhopalocera,Hesperiidae,Hesperiinae,,Telicota,ancilla,minda,DARK PALM or GREENISH PALM DART,Telicota ancilla minda,Evans,1934
Rhopalocera,Hesperiidae,Hesperiinae,,Telicota,colon,vaja,PALE PALM DART,Telicota colon vaja,Corbet,1942
Rhopalocera,Hesperiidae,Hesperiinae,,Unkana,ambasa,palawana,HOARY PALMER,Unkana ambasa palawana,Fruhstorfer,1911
Rhopalocera,Hesperiidae,Hesperiinae,,Xanthoneura,telesinus,,GRASS SKIPPER,Xanthoneura telesinus,Mabille,1878
Rhopalocera,Hesperiidae,Hesperiinae,,Zographetus,ogygia,ogygia,PURPLE-SPOTTED FLITTER,Zographetus ogygia ogygia,Hewitson,1866
Rhopalocera,Hesperiidae,Hesperiinae,Erionotini,Zographetus,durga,,FLITTER,Zographetus durga,Plotz,1884
Rhopalocera,Hesperiidae,Hesperiinae,,Telicota,hilda,palawana,DART,Telicota hilda palawana,MARUYAMA & UEHARA,1992
Rhopalocera,Hesperiidae,Pyrginae,,Calaenorrhinus,asmara,palajava,WHITE-BANDED FLAT,Calaenorrhinus asmara palajava,Staudinger,1889
Rhopalocera,Hesperiidae,Pyrginae,,Celaenorrhinus,treadawayi,treadawayi,SPOTTED FLAT,Celaenorrhinus treadawayi treadawayi,De Jong,1981
Rhopalocera,Hesperiidae,Pyrginae,,Coladenia,similis,,PIED FLAT,Coladenia similis,DE JONG & TREADAWAY,1992
Rhopalocera,Hesperiidae,Pyrginae,,Gerosis,corona,corona,FLAT,Gerosis corona corona,Semper,1892
Rhopalocera,Hesperiidae,Pyrginae,,Mooreana,princeps,,YELLOW FLAT,Mooreana princeps,SEMPER,1892
Rhopalocera,Hesperiidae,Pyrginae,,Odina,cuneiformis,,POLYGON FLAT,Odina cuneiformis,SEMPER,1892
Rhopalocera,Hesperiidae,Pyrginae,,Odontoptilum,abbreviata,,CHESTNUT/BANDED ANGLE,Odontoptilum abbreviata,De Jong,2006
Rhopalocera,Hesperiidae,Pyrginae,,Odontoptilum,corria,,CHESTNUT/BANDED ANGLE,Odontoptilum corria,De Jong,2006
Rhopalocera,Hesperiidae,Pyrginae,,Odontoptilum,helias,helisa,CHESTNUT/BANDED ANGLE,Odontoptilum helias helisa,Semper,1892
Rhopalocera,Hesperiidae,Pyrginae,,Odontoptilum,pygela,pygela,BANDED ANGLE,Odontoptilum pygela pygela,Hewitson,1868
Rhopalocera,Hesperiidae,Pyrginae,,Tagiades,gana,elegans,LARGE SNOW FLAT,Tagiades gana elegans,Mabille,1877
Rhopalocera,Hesperiidae,Pyrginae,,Tagiades,gana,gana,LARGE SNOW FLAT,Tagiades gana gana,Moore,1866
Rhopalocera,Hesperiidae,Pyrginae,,Tagiades,parra,parra,MULTI-SPOTTED SNOW FLAT,Tagiades parra parra,Fruhstorfer,1910
Rhopalocera,Hesperiidae,Pyrginae,,Tagiades,ultra,,ULTRA SNOW FLAT,Tagiades ultra,Evans,1932
Rhopalocera,Lycaenidae,Curetinae,,Curetis,tagalica,tagalica,SUNBEAM,Curetis tagalica tagalica,C.& R.Felder,1862
Rhopalocera,Lycaenidae,Curetinae,,Curetis,tagalica,palawanica,SUNBEAM,Curetis tagalica palawanica,STAUDINGER,1889
Rhopalocera,Lycaenidae,Lycaeninae,Aphnaeini,Spindasis,negrita,,CLUB SILVERLINE,Spindasis negrita,Felder,1862
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Acytolepis,puspa,bazilana,COMMON HEDGE BLUE,Acytolepis puspa bazilana,Fruhstorfer,1910
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Acytolepis,puspa,cagaya,COMMON HEDGE BLUE,Acytolepis puspa cagaya,C.& R. Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Anthene,emolus,,COMMON CILIATE BLUE,Anthene emolus,GODART,1824
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Anthene,lycaenina,villosina,POINTED CILIATE BLUE,Anthene lycaenina villosina,Fruhstorfer,1923
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Caleta,argola,argola,PIERROT,Caleta argola argola,Hewitson,1876
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Caleta,elna,elvira,ELBOWED PIERROT,Caleta elna elvira,Fruhstorfer,1918
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Caleta,roxus,angustior,STRAIGHT PIERROT,Caleta roxus angustior,Staudinger,1889
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Castalius,rosimon,monrosi,COMMON PIERROT,Castalius rosimon monrosi,SEMPER,1889
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Catopyrops,ancyra,almora,ANCYRA BLUE,Catopyrops ancyra almora,H.Druce,1873
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Catochrysops,panormus,exiguus,SILVER FORGET-ME-NOT,Catochrysops panormus exiguus,Distant,1886
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Catochrysops,strabo,luzonensis,FORGET-ME-NOT,Catochrysops strabo luzonensis,Tite,1959
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Celarchus,archagathos,archagathos,HEDGE BLUE,Celarchus archagathos archagathos,Fruhstorfer,1910
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Celarchus,hermarchus,hermarchus,HEDGE BLUE,Celarchus hermarchus hermarchus,Fruhstorfer,1910
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Celastrina,lavendularis,hermesianax,PLAIN HEDGE BLUE,Celastrina lavendularis hermesianax,Fruhstorfer,1910
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Celastrina,philippina,philippina,HEDGE BLUE,Celastrina philippina philippina,Semper,1889
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Chilades,lajus,athena,LIME BLUE,Chilades lajus athena,C.& R. Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Chilades,mindora,,MINDORO JEWEL BLUE,Chilades mindora,C. & R. Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Chilades,pandava,vapanda,PLAINS CUPID,Chilades pandava vapanda,Semper,1889
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Discolampa,ethion,negrosiana,BANDED BLUE PIERROT,Discolampa ethion negrosiana,MURAYAMA,1983
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Discolampa,ethion,ulysses,BANDED BLUE PIERROT,Discolampa ethion ulysses,Staudinger,1889
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Euchrysops,cnejus,cnejus,GRAM BLUE,Euchrysops cnejus cnejus,Fabricius,1798
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Everes,lacturnus,lacturnus,TAILED CUPID or INDIAN CUPID,Everes lacturnus lacturnus,Godart,1824
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Freyeria,putli,gnoma,GRASS JEWEL,Freyeria putli gnoma,Snellen,1876
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Ionolyce,helicon,merguiana,POINTED LINE BLUE,Ionolyce helicon merguiana,Moore,1884
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,alecto,manilana,METALLIC CERULEAN,Jamides alecto manilana,Toxopeus,1930
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,alsietus,alsietus,CERULEAN,Jamides alsietus alsietus,Fruhstorfer,1915
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,aratus,adana,CERULEAN,Jamides aratus adana,DRUCE,1875
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,bochus,bochus,CERULEAN,Jamides bochus bochus,STOLL,1782
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,bochus,pulchrior,DARK CERULEAN,Jamides bochus pulchrior,Grose-Smith,1895
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,camarines,,CERULEAN,Jamides camarines,TAKANAMI,1990
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,celeno,lydanus,COMMON CERULEAN,Jamides celeno lydanus,Fruhstorfer,1910
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,cleodus,cleodus,WHITE CERULEAN,Jamides cleodus cleodus,C.& R.Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,espada,sabatus,CERULEAN,Jamides espada sabatus,Fruhstorfer,1915
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,pura,eordaea,CERULEAN,Jamides pura eordaea,FRUHSTORFER,1916
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,schatzi,jumaloni,CERULEAN,Jamides schatzi jumaloni,Hayashi,1976
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Jamides,suidas,suidas,CERULEAN,Jamides suidas suidas,C. & R. Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Lampides,boeticus,,PEABLUE,Lampides boeticus,Linnaeus,1767
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Leptotes,plinius,leopardus,ZEBRA BLUE or PLUMBAGO BLUE,Leptotes plinius leopardus,Schultze,1910
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Megisba,malaya,sikkima,MALAYAN,Megisba malaya sikkima,Moore,1884
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,berenice,leei,ROUNDED SIX-LINE BLUE,Nacaduba berenice leei,Hsu,1990
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,beroe,beroe,OPAQUE SIX-LINE BLUE,Nacaduba beroe beroe,FELDER & FELDER,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,hermus,tairea,PALE FOUR-LINE BLUE,Nacaduba hermus tairea,Fruhstorfer,1916
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,kurava,kurava,TRANSPARENT SIX-LINE BLUE,Nacaduba kurava kurava,Moore,1858
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,limbura,,WHITE LINE BLUE,Nacaduba limbura,Fruhstorfer,1916
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,pavana,georgi,SMALL FOUR-LINE BLUE,Nacaduba pavana georgi,Fruhstorfer,1916
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,sericina,sericina,LINE BLUE,Nacaduba sericina sericina,C.& R.Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,sericina,sericina,LINE BLUE,Nacaduba sericina sericina,C.& R. Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nacaduba,subperusia,paska,FOUR-LINE BLUE,Nacaduba subperusia paska,Eliot,1955
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Neopithecops,zalmora,zalmora,COMMON QUAKER,Neopithecops zalmora zalmora,Butler,1870
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Niphanda,tessellata,,LARGE POINTED PIERROT,Niphanda tessellata,MOORE,1875
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Nothodanis,schaeffera,schaeffera,DARK GREEN-BANDED BLUE,Nothodanis schaeffera schaeffera,ESCHSCHOLTZ,1821
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Petrelaea,dana,,DINGY LINEBLUE,Petrelaea dana,DE NICEVILLE,1884
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Pithecops,corvus,corax,FOREST QUAKER,Pithecops corvus corax,Fruhstorfer,1919
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Prosotas,dubiosa,subardates,TAIL-LESS LINE BLUE,Prosotas dubiosa subardates,Piepers & Snellen,1918
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Prosotas,nora,semperi,COMMON LINE BLUE,Prosotas nora semperi,Fruhstorfer,1916
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Prosotas,maputi,,LINE BLUE,Prosotas maputi,SEMPER,1889
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Pseudozizeeria,maha,okinawana,PALE GRASS BLUE,Pseudozizeeria maha okinawana,Matsumura,1929
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Tarucus,waterstradti,,PIERROT,Tarucus waterstradti,Druce,1895
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Udara,camenae,filipina,HEDGE BLUE,Udara camenae filipina,MURAYAMA & OKAMURA,1973
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Udara,placidula,kawazoei,NARROW-BORDERED HEDGE BLUE,Udara placidula kawazoei,H. Hayashi,1976
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Udara,selma,,HEDGE BLUE,Udara selma,H. H. Druce,1895
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Zizeeria,karsandra,,DARK GRASS BLUE,Zizeeria karsandra,Moore,1865
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Zizina,otis,oriens,LESSER GRASS BLUE,Zizina otis oriens,Butler,1883
Rhopalocera,Lycaenidae,Lycaeninae,Polyommatini,Zizula,hylax,pygmaea,TINY GRASS BLUE or GAIKA BLUE,Zizula hylax pygmaea,Snellen,1876
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Amblypodia,narada,erichsonii,LEAF BLUE,Amblypodia narada erichsonii,Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Amblypodia,narada,plateni,LEAF BLUE,Amblypodia narada plateni,RILEY,1922
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Araotes,lapithis,arianus,WITCH,Araotes lapithis arianus,FRUHSTORFER,1912
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Arhopala,abseus,abseus,ABERRANT BUSHBLUE,Arhopala abseus abseus,Hewitson,1862
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Arhopala,abseus,amphea,ABERRANT BUSHBLUE,Arhopala abseus amphea,C.& R.Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Arhopala,abseus,amphea,ABERRANT BUSHBLUE,Arhopala abseus amphea,C.& R. Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Arhopala,agesilaus,agesilaus,OAKBLUE,Arhopala agesilaus agesilaus,Staudinger,1889
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Arhopala,alesia,alesia,PALLID OAKBLUE,Arhopala alesia alesia,C.& R. Felder,1865
Rhopalocera,Lycaenidae,Lycaeninae,Theclini,Arhopala,alitaeus,panta,PURPLE BROKEN-BAND OAKBLUE,Arhopala alitaeus panta,EVANS,1957
