division,family,subfamily,tribe,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
Heterocera,,,,,,,,,,
Rhopalocera,,,,,,,,,,
,Adelidae,,,,,,,,,
,Attevidae,,,,,,,,,
,Bombycidae,,,,,,,,,
,Callidulidae,,,,,,,,,
,Carposinidae,,,,,,,,,
,Choreutidae,,,,,,,,,
,Cossidae,,,,,,,,,
,Crambidae,,,,,,,,,
,Drepanidae,,,,,,,,,
,Erebdae,,,,,,,,,
,Erebidae,,,,,,,,,
,Eupterotidae,,,,,,,,,
,Euteliidae,,,,,,,,,
,Geometridae,,,,,,,,,
,Glyphipterigidae,,,,,,,,,
,Hepialidae,,,,,,,,,
,Hesperiidae,,,,,,,,,
,Hyblaeidae,,,,,,,,,
,Immidae,,,,,,,,,
,Lasiocampidae,,,,,,,,,
,Limacodidae,,,,,,,,,
,Lycaenidae,,,,,,,,,
,Noctuidae,,,,,,,,,
,Nolidae,,,,,,,,,
,Notodontidae,,,,,,,,,
,Nymphalidae,,,,,,,,,
,Papilionidae,,,,,,,,,
,Phaudidae,,,,,,,,,
,Pieridae,,,,,,,,,
,Plutellidae,,,,,,,,,
,Psychidae,,,,,,,,,
,Pterophoridae,,,,,,,,,
,Pyralidae,,,,,,,,,
,Riodinidae,,,,,,,,,
,Saturniidae,,,,,,,,,
,Sesiidae,,,,,,,,,
,Sphingidae,,,,,,,,,
,Thyrididae,,,,,,,,,
,Tineidae,,,,,,,,,
,Torticidae,,,,,,,,,
,Tortricidae,,,,,,,,,
,Uranidae,,,,,,,,,
,Uraniidae,,,,,,,,,
,Zygaenidae,,,,,,,,,
,,Acentropinae,,,,,,,,
,,Acontiinae,,,,,,,,
,,Acronictinae,,,,,,,,
,,Adelinae,,,,,,,,
,,Aediinae,,,,,,,,
,,Aganainae,,,,,,,,
,,Agaristinae,,,,,,,,
,,Amphipyrinae,,,,,,,,
,,Anobinae,,,,,,,,
,,Arctiinae,,,,,,,,
,,Auzeinae,,,,,,,,
,,Bagisarinae,,,,,,,,
,,Beaninae,,,,,,,,
,,Boletobiinae,,,,,,,,
,,Bombombycinae,,,,,,,,
,,Bombycinae,,,,,,,,
,,Brenthiinae,,,,,,,,
,,Callidulinae,,,,,,,,
,,Callizygaeninae,,,,,,,,
,,Calpinae,,,,,,,,
,,Cerurinae,,,,,,,,
,,Chalcosiinae,,,,,,,,
,,Chalcosiinaenae,,,,,,,,
,,Charaxinae,,,,,,,,
,,Chloephorinae,,,,,,,,
,,Choreutinae,,,,,,,,
,,Chysauginae,,,,,,,,
,,Coeliadinae,,,,,,,,
,,Coliadinae,,,,,,,,
,,Condicinae,,,,,,,,
,,Cossinae,,,,,,,,
,,Crambinae,,,,,,,,
,,Curetinae,,,,,,,,
,,Danainae,,,,,,,,
,,Desmobathrinae,,,,,,,,
,,Deuterocopinae,,,,,,,,
,,Dicranurinae,,,,,,,,
