division,family,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
Angiosperm,,,,,,,,
Gymnosperm,,,,,,,,
Pteridophyte,,,,,,,,
,Acanthaceae,,,,,,,
,Acoraceae,,,,,,,
,Actinidiaceae,,,,,,,
,Aizoaceae,,,,,,,
,Alismataceae,,,,,,,
,Amaranthaceae,,,,,,,
,Amaryllidaceae,,,,,,,
,Anacardiaceae,,,,,,,
,Annonaceae,,,,,,,
,Apiaceae,,,,,,,
,Apocynaceae,,,,,,,
,Aquifoliaceae,,,,,,,
,Araceae,,,,,,,
,Araliaceae,,,,,,,
,Araucariaceae,,,,,,,
,Aristolochiaceae,,,,,,,
,Asparagaceae,,,,,,,
,Asphodelaceae,,,,,,,
,Aspleniaceae,,,,,,,
,Asteraceae,,,,,,,
,Balsaminaceae,,,,,,,
,Basellaceae,,,,,,,
,Begoniaceae,,,,,,,
,Berberidaceae,,,,,,,
,Betulaceae,,,,,,,
,Bignoniaceae,,,,,,,
,Bixaceae,,,,,,,
,Blechnaceae,,,,,,,
,Bombacaceae,,,,,,,
,Boraginaceae,,,,,,,
,Brassicaceae,,,,,,,
,Bromeliaceae,,,,,,,
,Burseraceae,,,,,,,
,Buxaceae,,,,,,,
,Cactaceae,,,,,,,
,Campanulaceae,,,,,,,
,Cannabaceae,,,,,,,
,Cannaceae,,,,,,,
,Capparaceae,,,,,,,
,Caprifoliaceae,,,,,,,
,Caricaceae,,,,,,,
,Caryophyllaceae,,,,,,,
,Casuarinaceae,,,,,,,
,Celastraceae,,,,,,,
,Chloranthaceae,,,,,,,
,Chrysobalanaceae,,,,,,,
,Clethraceae,,,,,,,
,Clusiaceae,,,,,,,
,Colchicaceae,,,,,,,
,Combretaceae,,,,,,,
,Commelinaceae,,,,,,,
,Connaraceae,,,,,,,
,Convolvulaceae,,,,,,,
,Coriariaceae,,,,,,,
,Cornaceae,,,,,,,
,Costaceae,,,,,,,
,Crassulaceae,,,,,,,
,Crypteroniaceae,,,,,,,
,Cucurbitaceae,,,,,,,
,Cunoniaceae,,,,,,,
,Cyatheaceae,,,,,,,
,Cycadaceae,,,,,,,
,Cyperaceae,,,,,,,
,Daphniphyllaceae,,,,,,,
,Davalliaceae,,,,,,,
,Dennstaedtiaceae,,,,,,,
,Dichapetalaceae,,,,,,,
,Dicksoniaceae,,,,,,,
,Dilleniaceae,,,,,,,
,Dioscoreaceae,,,,,,,
,Dipterocarpaceae,,,,,,,
,Droseraceae,,,,,,,
,Dryopteridaceae,,,,,,,
,Ebenaceae,,,,,,,
,Elaeagnaceae,,,,,,,
,Elaeocarpaceae,,,,,,,
,Elatinaceae,,,,,,,
,Equisetaceae,,,,,,,
,Ericaceae,,,,,,,
,Eriocaulaceae,,,,,,,
,Erythroxylaceae,,,,,,,
,Escalloniaceae,,,,,,,
,Euphorbiaceae,,,,,,,
,Fabaceae,,,,,,,
,Fagaceae,,,,,,,
,Flagellariaceae,,,,,,,
,Gentianaceae,,,,,,,
,Geraniaceae,,,,,,,
,Gesneriaceae,,,,,,,
,Gleicheniaceae,,,,,,,
,Goodeniaceae,,,,,,,
,Haemodoraceae,,,,,,,
,Haloragaceae,,,,,,,
,Hamamelidaceae,,,,,,,
,Heliconiaceae,,,,,,,
,Hernandiaceae,,,,,,,
,Hydrangeaceae,,,,,,,
,Hydrocharitaceae,,,,,,,
,Hypericaceae,,,,,,,
,Hypoxidaceae,,,,,,,
,Icacinaceae,,,,,,,
,Iridaceae,,,,,,,
,Irvingiaceae,,,,,,,
,Isoetaceae,,,,,,,
,Joinvilleaceae,,,,,,,
,Juglandaceae,,,,,,,
,Juncaceae,,,,,,,
,Lamiaceae,,,,,,,
,Lauraceae,,,,,,,
,Lecythidaceae,,,,,,,
,Liliaceae,,,,,,,
,Linaceae,,,,,,,
,Loganiaceae,,,,,,,
,Lomariopsidaceae,,,,,,,
,Loranthaceae,,,,,,,
,Lycopodiaceae,,,,,,,
,Lythraceae,,,,,,,
,Magnoliaceae,,,,,,,
,Malpighiaceae,,,,,,,
,Malvaceae,,,,,,,
,Marantaceae,,,,,,,
,Marattiaceae,,,,,,,
,Marsileaceae,,,,,,,
,Melastomataceae,,,,,,,
,Meliaceae,,,,,,,
