division	family
Pteridophyte	Aspleniaceae
Pteridophyte	Blechnaceae
Pteridophyte	Cyatheaceae
Pteridophyte	Davalliaceae
Pteridophyte	Dennstaedtiaceae
Pteridophyte	Dicksoniaceae
Pteridophyte	Dryopteridaceae
Pteridophyte	Equisetaceae
Pteridophyte	Gleicheniaceae
Pteridophyte	Isoetaceae
Pteridophyte	Lomariopsidaceae
Pteridophyte	Lycopodiaceae
Pteridophyte	Marattiaceae
Pteridophyte	Marsileaceae
Pteridophyte	Oleandraceae
Pteridophyte	Osmundaceae
Pteridophyte	Polypodiaceae
Pteridophyte	Pteridaceae
Pteridophyte	Salviniaceae
Pteridophyte	Schizaeaceae
Pteridophyte	Selaginellaceae
Pteridophyte	Thelypteridaceae
Gymnosperm	Araucariaceae
Gymnosperm	Cycadaceae
Gymnosperm	Pinaceae
Gymnosperm	Podocarpaceae
Gymnosperm	Taxaceae
Angiosperm	Acanthaceae
Angiosperm	Avicenniaceae
Angiosperm	Acoraceae
Angiosperm	Actinidiaceae
Angiosperm	Aizoaceae
Angiosperm	Alismataceae
Angiosperm	Limnocharitaceae
Angiosperm	Amaranthaceae
Angiosperm	Chenopodiaceae
Angiosperm	Amaryllidaceae
Angiosperm	Alliaceae
Angiosperm	Anacardiaceae
Angiosperm	Annonaceae
Angiosperm	Umbelliferae
Angiosperm	Apocynaceae
Angiosperm	Asclepiadaceae
Angiosperm	Aquifoliaceae
Angiosperm	Araceae
Angiosperm	Lemnaceae
Angiosperm	Araliaceae
Angiosperm	Palmae
Angiosperm	Aristolochiaceae
Angiosperm	Asparagaceae
Angiosperm	Agavaceae
Angiosperm	Anthericaceae
Angiosperm	Convallariaceae
Angiosperm	Dracaenaceae
Angiosperm	Ruscaceae
Angiosperm	Asphodelaceae
Angiosperm	Aloaceae
Angiosperm	Hemerocallidaceae
Angiosperm	Xanthorrhoeaceae
Angiosperm	Compositae
Angiosperm	Balsaminaceae
Angiosperm	Basellaceae
Angiosperm	Begoniaceae
Angiosperm	Berberidaceae
Angiosperm	Betulaceae
Angiosperm	Bignoniaceae
Angiosperm	Bixaceae
Angiosperm	Bombacaceae
Angiosperm	Boraginaceae
Angiosperm	Cruciferae
Angiosperm	Bromeliaceae
Angiosperm	Burseraceae
Angiosperm	Buxaceae
Angiosperm	Cactaceae
Angiosperm	Campanulaceae
Angiosperm	Cannabaceae
Angiosperm	Cannaceae
Angiosperm	Capparaceae
Angiosperm	Caprifoliaceae
Angiosperm	Caricaceae
Angiosperm	Caryophyllaceae
Angiosperm	Casuarinaceae
Angiosperm	Celastraceae
Angiosperm	Ceratophyllaceae
Angiosperm	Chloranthaceae
Angiosperm	Chrysobalanaceae
Angiosperm	Clethraceae
Angiosperm	Guttiferae
Angiosperm	Colchicaceae
Angiosperm	Combretaceae
Angiosperm	Commelinaceae
Angiosperm	Connaraceae
Angiosperm	Convolvulaceae
Angiosperm	Coriariaceae
Angiosperm	Cornaceae
Angiosperm	Alangiaceae
Angiosperm	Costaceae
Angiosperm	Crassulaceae
Angiosperm	Crypteroniaceae
Angiosperm	Cucurbitaceae
Angiosperm	Cunoniaceae
Angiosperm	Cyperaceae
Angiosperm	Daphniphyllaceae
Angiosperm	Dichapetalaceae
Angiosperm	Dilleniaceae
Angiosperm	Dioscoreaceae
Angiosperm	Dipterocarpaceae
Angiosperm	Droseraceae
Angiosperm	Ebenaceae
Angiosperm	Elaeagnaceae
Angiosperm	Elaeocarpaceae
Angiosperm	Elatinaceae
Angiosperm	Ericaceae
Angiosperm	Epacridaceae
Angiosperm	Eriocaulaceae
Angiosperm	Erythroxylaceae
Angiosperm	Escalloniaceae
Angiosperm	Euphorbiaceae
Angiosperm	Leguminosae
Angiosperm	Fagaceae
Angiosperm	Flagellariaceae
Angiosperm	Gentianaceae
Angiosperm	Geraniaceae
Angiosperm	Gesneriaceae
Angiosperm	Goodeniaceae
Angiosperm	Haemodoraceae
Angiosperm	Haloragaceae
Angiosperm	Hamamelidaceae
Angiosperm	Heliconiaceae
Angiosperm	Hernandiaceae
Angiosperm	Hydrangeaceae
Angiosperm	Hydrocharitaceae
Angiosperm	Guttiferae
Angiosperm	Hypoxidaceae
Angiosperm	Icacinaceae
Angiosperm	Iridaceae
Angiosperm	Irvingiaceae
Angiosperm	Joinvilleaceae
Angiosperm	Juglandaceae
Angiosperm	Juncaceae
Angiosperm	Labiatae
Angiosperm	Verbenaceae
Angiosperm	Lauraceae
Angiosperm	Lecythidaceae
Angiosperm	Liliaceae
Angiosperm	Linaceae
Angiosperm	Loganiaceae
Angiosperm	Loranthaceae
Angiosperm	Lythraceae
Angiosperm	Magnoliaceae
Angiosperm	Malpighiaceae
Angiosperm	Malvaceae
Angiosperm	Marantaceae
Angiosperm	Melastomataceae
Angiosperm	Meliaceae
Angiosperm	Menispermaceae
Angiosperm	Menyanthaceae
Angiosperm	Molluginaceae
Angiosperm	Monimiaceae
Angiosperm	Moraceae
Angiosperm	Moringaceae
Angiosperm	Musaceae
Angiosperm	Myricaceae
Angiosperm	Myristicaceae
Angiosperm	Myrtaceae
Angiosperm	Nelumbonaceae
Angiosperm	Nepenthaceae
Angiosperm	Nyctaginaceae
Angiosperm	Nymphaeaceae
Angiosperm	Ochnaceae
Angiosperm	Olacaceae
Angiosperm	Oleaceae
Angiosperm	Onagraceae
Angiosperm	Opiliaceae
Angiosperm	Orchidaceae
Angiosperm	Oxalidaceae
Angiosperm	Pandaceae
Angiosperm	Pandanaceae
Angiosperm	Papaveraceae
Angiosperm	Passifloraceae
Angiosperm	Turneraceae
Angiosperm	Pedaliaceae
Angiosperm	Phytolaccaceae
Angiosperm	Piperaceae
Angiosperm	Pittosporaceae
Angiosperm	Plantaginaceae
Angiosperm	Plumbaginaceae
Angiosperm	Gramineae
Angiosperm	Polygalaceae
Angiosperm	Polygonaceae
Angiosperm	Pontederiaceae
Angiosperm	Portulacaceae
Angiosperm	Potamogetonaceae
Angiosperm	Primulaceae
Angiosperm	Myrsinaceae
Angiosperm	Theophrastaceae
Angiosperm	Proteaceae
Angiosperm	Rafflesiaceae
Angiosperm	Ranunculaceae
Angiosperm	Resedaceae
Angiosperm	Restionaceae
Angiosperm	Rhamnaceae
Angiosperm	Rhizophoraceae
Angiosperm	Rosaceae
Angiosperm	Rubiaceae
Angiosperm	Rutaceae
Angiosperm	Sabiaceae
Angiosperm	Salicaceae
Angiosperm	Flacourtiaceae
Angiosperm	Salvadoraceae
Angiosperm	Santalaceae
Angiosperm	Sapindaceae
Angiosperm	Aceraceae
Angiosperm	Sapotaceae
Angiosperm	Saururaceae
Angiosperm	Saxifragaceae
Angiosperm	Schisandraceae
Angiosperm	Illiciaceae
Angiosperm	Scrophulariaceae
Angiosperm	Buddlejaceae
Angiosperm	Simaroubaceae
Angiosperm	Smilacaceae
Angiosperm	Solanaceae
Angiosperm	Staphyleaceae
Angiosperm	Sterculiaceae
Angiosperm	Strelitziaceae
Angiosperm	Styracaceae
Angiosperm	Surianaceae
Angiosperm	Symplocaceae
Angiosperm	Taccaceae
Angiosperm	Theaceae
Angiosperm	Thymelaeaceae
Angiosperm	Tropaeolaceae
Angiosperm	Typhaceae
Angiosperm	Urticaceae
Angiosperm	Verbenaceae
Angiosperm	Violaceae
Angiosperm	Viscaceae
Angiosperm	Vitaceae
Angiosperm	Winteraceae
Angiosperm	Xyridaceae
Angiosperm	Zingiberaceae
Angiosperm	Zygophyllaceae
