division,family
Pteridophyte,Aspleniaceae
Pteridophyte,Athyriaceae
Pteridophyte,Blechnaceae
Pteridophyte,Cibotiaceae
Pteridophyte,Cyatheaceae
Pteridophyte,Cystopteridaceae
Pteridophyte,Davalliaceae
Pteridophyte,Dennstaedtiaceae
Pteridophyte,Dicksoniaceae
Pteridophyte,Diplaziopsidaceae
Pteridophyte,Dipteridaceae
Pteridophyte,Dryopteridaceae
Pteridophyte,Equisetaceae
Pteridophyte,Gleicheniaceae
Pteridophyte,Hymenophyllaceae
Pteridophyte,Hypodematiaceae
Pteridophyte,Isoetaceae
Pteridophyte,Lindsaeaceae
Pteridophyte,Lomariopsidaceae
Pteridophyte,Lycopodiaceae
Pteridophyte,Lygodiaceae
Pteridophyte,Marattiaceae
Pteridophyte,Marsileaceae
Pteridophyte,Matoniaceae
Pteridophyte,Nephrolepidaceae
Pteridophyte,Oleandraceae
Pteridophyte,Ophioglossaceae
Pteridophyte,Osmundaceae
Pteridophyte,Plagiogyriaceae
Pteridophyte,Polypodiaceae
Pteridophyte,Psilotaceae
Pteridophyte,Pteridaceae
Pteridophyte,Pteridryaceae
Pteridophyte,Rhachidosoraceae
Pteridophyte,Saccolomataceae
Pteridophyte,Salviniaceae
Pteridophyte,Schizaeaceae
Pteridophyte,Selaginellaceae
Pteridophyte,Tectariaceae
Pteridophyte,Thelypteridaceae
Gymnosperm,Araucariaceae
Gymnosperm,Cycadaceae
Gymnosperm,Gnetaceae
Gymnosperm,Pinaceae
Gymnosperm,Podocarpaceae
Gymnosperm,Taxaceae
Angiosperm,Acanthaceae
Angiosperm,Avicenniaceae
Angiosperm,Achariaceae
Angiosperm,Acoraceae
Angiosperm,Actinidiaceae
Angiosperm,Aizoaceae
Angiosperm,Alismataceae
Angiosperm,Limnocharitaceae
Angiosperm,Amaranthaceae
Angiosperm,Chenopodiaceae
Angiosperm,Amaryllidaceae
Angiosperm,Alliaceae
Angiosperm,Amphorogynaceae
Angiosperm,Anacardiaceae
Angiosperm,Annonaceae
Angiosperm,Apiaceae
Angiosperm,Umbelliferae
Angiosperm,Apocynaceae
Angiosperm,Asclepiadaceae
Angiosperm,Aptandraceae
Angiosperm,Aquifoliaceae
Angiosperm,Araceae
Angiosperm,Lemnaceae
Angiosperm,Araliaceae
Angiosperm,Arecaceae
Angiosperm,Palmae
Angiosperm,Aristolochiaceae
Angiosperm,Asparagaceae
Angiosperm,Agavaceae
Angiosperm,Anthericaceae
Angiosperm,Convallariaceae
Angiosperm,Dracaenaceae
Angiosperm,Laxmanniaceae
Angiosperm,Ruscaceae
Angiosperm,Asphodelaceae
Angiosperm,Aloaceae
Angiosperm,Hemerocallidaceae
Angiosperm,Xanthorrhoeaceae
Angiosperm,Asteraceae 
Angiosperm,Compositae
Angiosperm,Balanophoraceae
Angiosperm,Balsaminaceae
Angiosperm,Basellaceae
Angiosperm,Begoniaceae
Angiosperm,Berberidaceae
Angiosperm,Betulaceae
Angiosperm,Bignoniaceae
Angiosperm,Bixaceae
Angiosperm,Bombacaceae
Angiosperm,Boraginaceae
Angiosperm,Brassicaceae
Angiosperm,Cruciferae
Angiosperm,Bromeliaceae
Angiosperm,Brownlowiaceae
Angiosperm,Burmanniaceae
Angiosperm,Burseraceae
Angiosperm,Buxaceae
Angiosperm,Byttneriaceae
Angiosperm,Cactaceae
Angiosperm,Calophyllaceae
Angiosperm,Campanulaceae
Angiosperm,Cannabaceae
Angiosperm,Celticidaceae
Angiosperm,Cannaceae
Angiosperm,Capparaceae
Angiosperm,Caprifoliaceae
Angiosperm,Cardiopteridaceae
Angiosperm,Caricaceae
Angiosperm,Caryophyllaceae
Angiosperm,Casuarinaceae
Angiosperm,Celastraceae
Angiosperm,Hippocrateaceae
Angiosperm,Ceratophyllaceae
Angiosperm,Chloranthaceae
Angiosperm,Chrysobalanaceae
Angiosperm,Cleomaceae
Angiosperm,Clethraceae
Angiosperm,Clusiaceae
Angiosperm,Guttiferae
Angiosperm,Colchicaceae
Angiosperm,Combretaceae
Angiosperm,Commelinaceae
Angiosperm,Connaraceae
Angiosperm,Convolvulaceae
Angiosperm,Cordiaceae
Angiosperm,Coriariaceae
Angiosperm,Cornaceae
Angiosperm,Alangiaceae
Angiosperm,Costaceae
Angiosperm,Crassulaceae
Angiosperm,Crypteroniaceae
Angiosperm,Ctenolophonaceae
Angiosperm,Cucurbitaceae
Angiosperm,Cunoniaceae
Angiosperm,Cymodoceaceae
Angiosperm,Cyperaceae
Angiosperm,Daphniphyllaceae
Angiosperm,Dichapetalaceae
Angiosperm,Dilleniaceae
Angiosperm,Dioscoreaceae
Angiosperm,Dipentodontaceae
Angiosperm,Dipterocarpaceae
Angiosperm,Dombeyaceae
Angiosperm,Droseraceae
Angiosperm,Durionaceae
Angiosperm,Ebenaceae
Angiosperm,Ehretiaceae
Angiosperm,Elaeagnaceae
Angiosperm,Elaeocarpaceae
Angiosperm,Elatinaceae
Angiosperm,Ericaceae
Angiosperm,Epacridaceae
Angiosperm,Eriocaulaceae
Angiosperm,Erythropalaceae
Angiosperm,Erythroxylaceae
Angiosperm,Escalloniaceae
Angiosperm,Euphorbiaceae
Angiosperm,Fabaceae
Angiosperm,Leguminosae
Angiosperm,Fagaceae
Angiosperm,Flagellariaceae
Angiosperm,Gentianaceae
Angiosperm,Geraniaceae
Angiosperm,Gesneriaceae
Angiosperm,Goodeniaceae
Angiosperm,Gunneraceae
Angiosperm,Haemodoraceae
Angiosperm,Haloragaceae
Angiosperm,Hamamelidaceae
Angiosperm,Hanguanaceae
Angiosperm,Heliconiaceae
Angiosperm,Helicteraceae
Angiosperm,Heliotropiaceae
Angiosperm,Hernandiaceae
Angiosperm,Hydrangeaceae
Angiosperm,Hydrocharitaceae
Angiosperm,Najadaceae
Angiosperm,Hydroleaceae
Angiosperm,Hypericaceae
Angiosperm,Guttiferae
Angiosperm,Hypoxidaceae
Angiosperm,Icacinaceae
Angiosperm,Iridaceae
Angiosperm,Irvingiaceae
Angiosperm,Iteaceae
Angiosperm,Ixonanthaceae
Angiosperm,Joinvilleaceae
Angiosperm,Juglandaceae
Angiosperm,Juncaceae
Angiosperm,Lamiaceae
Angiosperm,Labiatae
Angiosperm,Verbenaceae
Angiosperm,Lauraceae
Angiosperm,Lecythidaceae
Angiosperm,Lentibulariaceae
Angiosperm,Liliaceae
Angiosperm,Linaceae
Angiosperm,Linderniaceae
Angiosperm,Loganiaceae
Angiosperm,Loranthaceae
Angiosperm,Lythraceae
Angiosperm,Punicaceae
Angiosperm,Magnoliaceae
Angiosperm,Malpighiaceae
Angiosperm,Malvaceae
Angiosperm,Marantaceae
Angiosperm,Mazaceae
Angiosperm,Melastomataceae
Angiosperm,Memecylaceae
Angiosperm,Meliaceae
Angiosperm,Menispermaceae
Angiosperm,Menyanthaceae
Angiosperm,Metteniusaceae
Angiosperm,Mitrastemonaceae
Angiosperm,Molluginaceae
Angiosperm,Monimiaceae
Angiosperm,Moraceae
Angiosperm,Moringaceae
Angiosperm,Muntingiaceae
Angiosperm,Musaceae
Angiosperm,Myricaceae
Angiosperm,Myristicaceae
Angiosperm,Myrtaceae
Angiosperm,Nartheciaceae
Angiosperm,Nelumbonaceae
Angiosperm,Nepenthaceae
Angiosperm,Nyctaginaceae
Angiosperm,Nymphaeaceae
Angiosperm,Nyssaceae
Angiosperm,Ochnaceae
Angiosperm,Medusagynaceae
Angiosperm,Olacaceae
Angiosperm,Oleaceae
Angiosperm,Onagraceae
Angiosperm,Opiliaceae
Angiosperm,Orchidaceae
Angiosperm,Orobanchaceae
Angiosperm,Oxalidaceae
Angiosperm,Pandaceae
Angiosperm,Pandanaceae
Angiosperm,Papaveraceae
Angiosperm,Paracryphiaceae
Angiosperm,Passifloraceae
Angiosperm,Turneraceae
Angiosperm,Pedaliaceae
Angiosperm,Pentaphragmataceae
Angiosperm,Pentaphylacaceae
Angiosperm,Peraceae
Angiosperm,Phrymaceae
Angiosperm,Phyllanthaceae
Angiosperm,Phytolaccaceae
Angiosperm,Piperaceae
Angiosperm,Pittosporaceae
Angiosperm,Plantaginaceae
Angiosperm,Plumbaginaceae
Angiosperm,Poaceae
Angiosperm,Gramineae
Angiosperm,Polygalaceae
Angiosperm,Xanthophyllaceae
Angiosperm,Polygonaceae
Angiosperm,Pontederiaceae
Angiosperm,Portulacaceae
Angiosperm,Potamogetonaceae
Angiosperm,Primulaceae
Angiosperm,Aegicerataceae
Angiosperm,Maesaceae
Angiosperm,Myrsinaceae
Angiosperm,Theophrastaceae
Angiosperm,Proteaceae
Angiosperm,Putranjivaceae
Angiosperm,Rafflesiaceae
Angiosperm,Ranunculaceae
Angiosperm,Resedaceae
Angiosperm,Restionaceae
Angiosperm,Rhamnaceae
Angiosperm,Rhizophoraceae
Angiosperm,Rosaceae
Angiosperm,Rubiaceae
Angiosperm,Ruppiaceae
Angiosperm,Rutaceae
Angiosperm,Sabiaceae
Angiosperm,Salicaceae
Angiosperm,Flacourtiaceae
Angiosperm,Salvadoraceae
Angiosperm,Santalaceae
Angiosperm,Sapindaceae
Angiosperm,Aceraceae
Angiosperm,Sapotaceae
Angiosperm,Sarcospermataceae
Angiosperm,Saururaceae
Angiosperm,Saxifragaceae
Angiosperm,Schisandraceae
Angiosperm,Illiciaceae
Angiosperm,Scrophulariaceae
Angiosperm,Buddlejaceae
Angiosperm,Simaroubaceae
Angiosperm,Smilacaceae
Angiosperm,Solanaceae
Angiosperm,Sparmanniaceae
Angiosperm,Sphenocleaceae
Angiosperm,Staphyleaceae
Angiosperm,Stemonaceae
Angiosperm,Stemonuraceae
Angiosperm,Sterculiaceae
Angiosperm,Strelitziaceae
Angiosperm,Strombosiaceae
Angiosperm,Stylidiaceae
Angiosperm,Styracaceae
Angiosperm,Surianaceae
Angiosperm,Symplocaceae
Angiosperm,Taccaceae
Angiosperm,Talinaceae
Angiosperm,Tetramelaceae
Angiosperm,Tetrameristaceae
Angiosperm,Theaceae
Angiosperm,Thesiaceae
Angiosperm,Thismiaceae
Angiosperm,Thymelaeaceae
Angiosperm,Gonostylaceae
Angiosperm,Triuridaceae
Angiosperm,Tropaeolaceae
Angiosperm,Typhaceae
Angiosperm,Urticaceae
Angiosperm,Verbenaceae
Angiosperm,Viburnaceae
Angiosperm,Adoxaceae
Angiosperm,Violaceae
Angiosperm,Viscaceae
Angiosperm,Vitaceae
Angiosperm,Vitaceae (incl. Leeaceae)
Angiosperm,Winteraceae
Angiosperm,Ximeniaceae
Angiosperm,Xyridaceae
Angiosperm,Zingiberaceae
Angiosperm,Zygophyllaceae
