Phallus indusiatus
Lissachatina fulica
Lithobates catesbeianus
Nycticorax nycticorax
Columba livia
Drosera intermedia
Pandion haliaetus
Sedum album
Clarias gariepinus
Egretta garzetta
Anas platyrhynchos
Hirundo rustica
Prunella vulgaris
Foeniculum vulgare
Iguana iguana
Miconia crenata
Evolvulus nummularius
Evolvulus glomeratus
Spigelia anthelmia
Heliotropium indicum
Ricinus communis
Anolis sagrei
Bignonia corymbosa
Ximenia americana
Tyto alba
Falco peregrinus
Melanitis leda
Chelonia mydas
Mus musculus
Magnolia grandiflora
Amaranthus viridis
Pteris vittata
Bidens alba
Limosa limosa
Psilogramma increta
Aedes albopictus
Estrilda astrild
Asplenium nidus
Sylvirana guentheri
Duttaphrynus melanostictus
Microhyla butleri
Microhyla fissipes
Kaloula pulchra
Parkinsonia aculeata
Sula leucogaster
Philodendron pedatum
Eretmochelys imbricata
Falco tinnunculus
Pycnoscelus surinamensis
Typha latifolia
Portulaca oleracea
Physostegia virginiana
Buddleja davidii
Pantala flavescens
Tachybaptus ruficollis
Sturnus vulgaris
Ardea cinerea
Anthus cervinus
Gallinago gallinago
Actitis hypoleucos
Sus scrofa
Leucocoprinus birnbaumii
Ganoderma applanatum
Oxalis corniculata
Cygnus atratus
Lemna minor
Tillandsia bulbosa
Hermetia illucens
Adiantum capillus-veneris
Grapsus albolineatus
Tringa guttifer
Chlorophyllum molybdites
Monotaxis grandoculis
Pontederia cordata
Helianthus annuus
Phoenicurus ochruros
Plantago major
Rudbeckia hirta
Gelochelidon nilotica
Dicrurus macrocercus
Ardea purpurea
Haliastur indus
Ardeola grayii
Spilopelia chinensis
Pelargopsis capensis
Pycnonotus goiavier
Acridotheres javanicus
Corvus splendens
Halcyon smyrnensis
Anhinga melanogaster
Calotes versicolor
Lonchura striata
Vespa tropica
Pycnonotus jocosus
Rusa unicolor
Hypothymis azurea
Dicrurus paradiseus
Copsychus saularis
Mimosa pudica
Aegithina tiphia
Amaurornis phoenicurus
Orthotomus sutorius
Threskiornis melanocephalus
Vanellus indicus
Centropus sinensis
Spoladea recurvalis
Tabebuia aurea
Myiopsitta monachus
Philodendron hederaceum
Ardea alba
Pavo cristatus
Thalasseus bergii
Agapornis roseicollis
Acridotheres tristis
Passer domesticus
Rattus norvegicus
Gallinula chloropus
Motacilla cinerea
Cardamine hirsuta
Brassica rapa
Himantopus himantopus
Chroicocephalus ridibundus
Sternula albifrons
Milvus migrans
Olea europaea
Trametes versicolor
Lobularia maritima
Dryas iulia
Lobelia cardinalis
Pluvialis squatarola
Pterois volitans
Amphiprion ocellaris
Crocothemis servilia
Menemerus bivittatus
Macaca fascicularis
Lycogala epidendrum
Tringa totanus
Apalone ferox
Calidris alba
Butorides striata
Vidua macroura
Elanus caeruleus
Cosmos bipinnatus
Chlidonias hybrida
Euplectes orix
Chlidonias leucopterus
Tringa nebularia
Psittacula krameri
Arenaria interpres
Numenius phaeopus
Bubulcus ibis
Udaspes folus
Hypolimnas bolina
Appias libythea
Graphium doson
Doleschallia bisaltide
Hyllus diardi
Scadoxus multiflorus
Kigelia africana
Balearica regulorum
Adansonia digitata
Heuchera micrantha
Dionaea muscipula
Tringa ochropus
Sarracenia flava
Glebionis coronaria
Eleutherodactylus planirostris
Graphium agamemnon
Syritta pipiens
Heosemys spinosa
Argiope aemula
Hypolimnas misippus
Ipomoea purpurea
Buteo buteo
Piaractus brachypomus
Eudynamys scolopaceus
Nephila pilipes
Anastomus oscitans
Sturnia pagodarum
Gracupica contra
Arceuthobium campylopodum
Hemidactylus frenatus
Crocodylus porosus
Bipalium vagum
Estrilda rhodopyga
Aphis nerii
Fuligo septica
Calvatia gigantea
Gehyra mutilata
Indotyphlops braminus
Bungarus fasciatus
Eutropis longicaudata
Pareas margaritophorus
Lycodon capucinus
Hypselodoris bullockii
Phyllidiella pustulosa
Ludwigia octovalvis
Arundo donax
Polypedates leucomystax
Gekko gecko
Hemidactylus platyurus
Campsis radicans
Melia azedarach
Sorghum bicolor
Fejervarya limnocharis
Hylarana erythraea
Agriocnemis pygmaea
Agriocnemis femina
Sabal minor
Echinodorus cordifolius
Sapium glandulosum
Opuntia basilaris
Spathoglottis plicata
Crotalaria retusa
Diadumene lineata
Periophthalmus chrysospilos
Cynodon dactylon
Carnegiea gigantea
Solanum americanum
Orthetrum sabina
Cyrtophora moluccensis
Cacatua galerita
Nephila kuhli
Gryllus bimaculatus
Ischnura senegalensis
Heteropoda venatoria
Amyda cartilaginea
Abudefduf vaigiensis
Tamarix ramosissima
Dendrodoris krusensternii
Coprinopsis lagopus
Thelacantha brevispina
Lonchura atricapilla
Geopelia striata
Palhinhaea cernua
Pteraeolidia semperi
Ludwigia peruviana
Dendrodoris fumata
Caulerpa racemosa
Aplysia oculifera
Bornella stellifera
Spilornis cheela
Motacilla alba
Scutus unguis
Ancylocaris brevicarpalis
Stichodactyla haddoni
Mycteria leucocephala
Haliaeetus leucogaster
Scaevola taccada
Anax guttatus
Zosterops palpebrosus
Junonia orithya
Papilio polytes
Papilio demoleus
Eurema hecabe
Parus minor
Spodiopsar cineraceus
Myrmaplata plataleoides
Elymnias hypermnestra
Neverita didyma
Diaphania indica
Gelasimus tetragonon
Drosera burmanni
Eudocima homaena
Daphnis nerii
Theretra nessus
Euchromia polymena
Asota caricae
Loboschiza koenigiana
Aspidimorpha miliaris
Ypthima huebneri
Argyrocosma inductaria
Stenoptilodes taprobanes
Isocentris filalis
Mocis frugalis
Acanthocoris scaber
Oecophylla smaragdina
Anoplolepis gracilipes
Copsychus malabaricus
Begonia hirtella
Trimezia martinicensis
Senna pendula
Ipomoea indica
Gomphocarpus fruticosus
Trametes coccinea
Dicranopteris linearis
Hypselodoris infucata
Vaccinium corymbosum
Monopterus albus
Welwitschia mirabilis
Ocypode ceratophthalmus
Cocos nucifera
Schizophyllum commune
Cephalopholis formosa
Hedera helix
Holothuria leucospilota
Phytolacca acinosa
Tanacetum vulgare
Ajuga reptans
Alcedo atthis
Motacilla flava
Lysimachia nummularia
Lepidodactylus lugubris
Caesalpinia pulcherrima
