Phallus indusiatus
Lissachatina fulica
Lithobates catesbeianus
Nycticorax nycticorax
Columba livia
Pandion haliaetus
Clarias gariepinus
Egretta garzetta
Anas platyrhynchos
Hirundo rustica
Foeniculum vulgare
Iguana iguana
Miconia crenata
Evolvulus nummularius
Evolvulus glomeratus
Spigelia anthelmia
Heliotropium indicum
Ricinus communis
Anolis sagrei
Ximenia americana
Tyto alba
Falco peregrinus
Melanitis leda
Chelonia mydas
Mus musculus
Amaranthus viridis
Pteris vittata
Bidens alba
Psilogramma increta
Aedes albopictus
Estrilda astrild
Asplenium nidus
Sylvirana guentheri
Duttaphrynus melanostictus
Microhyla butleri
Kaloula pulchra
Sula leucogaster
Philodendron pedatum
Eretmochelys imbricata
Falco tinnunculus
Pycnoscelus surinamensis
Portulaca oleracea
Pantala flavescens
Tachybaptus ruficollis
Sturnus vulgaris
Ardea cinerea
Anthus cervinus
Gallinago gallinago
Actitis hypoleucos
Sus scrofa
Leucocoprinus birnbaumii
Ganoderma applanatum
Oxalis corniculata
Cygnus atratus
Lemna minor
Hermetia illucens
Adiantum capillus-veneris
Grapsus albolineatus
Chlorophyllum molybdites
Monotaxis grandoculis
Pontederia cordata
Helianthus annuus
Phoenicurus ochruros
Gelochelidon nilotica
Dicrurus macrocercus
Ardea purpurea
Haliastur indus
Ardeola grayii
Spilopelia chinensis
Pelargopsis capensis
Pycnonotus goiavier
Acridotheres javanicus
Corvus splendens
Halcyon smyrnensis
Anhinga melanogaster
Calotes versicolor
Lonchura striata
Vespa tropica
Pycnonotus jocosus
Rusa unicolor
Hypothymis azurea
Dicrurus paradiseus
Copsychus saularis
Mimosa pudica
Aegithina tiphia
Amaurornis phoenicurus
Orthotomus sutorius
Threskiornis melanocephalus
Vanellus indicus
Centropus sinensis
Spoladea recurvalis
Myiopsitta monachus
Philodendron hederaceum
Ardea alba
Pavo cristatus
Thalasseus bergii
Agapornis roseicollis
Acridotheres tristis
Passer domesticus
Rattus norvegicus
Gallinula chloropus
Motacilla cinerea
Cardamine hirsuta
Himantopus himantopus
Chroicocephalus ridibundus
Sternula albifrons
Milvus migrans
Trametes versicolor
Lobularia maritima
Dryas iulia
Pluvialis squatarola
Pterois volitans
Amphiprion ocellaris
Crocothemis servilia
Menemerus bivittatus
Macaca fascicularis
Lycogala epidendrum
Tringa totanus
Apalone ferox
Calidris alba
Butorides striata
Vidua macroura
Elanus caeruleus
Cosmos bipinnatus
Chlidonias hybrida
Euplectes orix
Chlidonias leucopterus
Tringa nebularia
Psittacula krameri
Arenaria interpres
Numenius phaeopus
Bubulcus ibis
Udaspes folus
Hypolimnas bolina
Appias libythea
Graphium doson
Doleschallia bisaltide
Hyllus diardi
Kigelia africana
Balearica regulorum
Heuchera micrantha
Tringa ochropus
Eleutherodactylus planirostris
Graphium agamemnon
Syritta pipiens
Heosemys spinosa
Argiope aemula
Hypolimnas misippus
Buteo buteo
Piaractus brachypomus
Eudynamys scolopaceus
Nephila pilipes
Anastomus oscitans
Sturnia pagodarum
Gracupica contra
Hemidactylus frenatus
Crocodylus porosus
Bipalium vagum
Estrilda rhodopyga
Aphis nerii
Fuligo septica
Calvatia gigantea
Gehyra mutilata
Indotyphlops braminus
Bungarus fasciatus
Eutropis longicaudata
Pareas margaritophorus
Lycodon capucinus
Hypselodoris bullockii
Phyllidiella pustulosa
Ludwigia octovalvis
Polypedates leucomystax
Gekko gecko
Hemidactylus platyurus
Melia azedarach
Fejervarya limnocharis
Hylarana erythraea
Agriocnemis pygmaea
Agriocnemis femina
Spathoglottis plicata
Crotalaria retusa
Diadumene lineata
Periophthalmus chrysospilos
Solanum americanum
Orthetrum sabina
Cyrtophora moluccensis
Cacatua galerita
Nephila kuhli
Gryllus bimaculatus
Ischnura senegalensis
Heteropoda venatoria
Amyda cartilaginea
Abudefduf vaigiensis
Dendrodoris krusensternii
Coprinopsis lagopus
Thelacantha brevispina
Lonchura atricapilla
Geopelia striata
Palhinhaea cernua
Pteraeolidia semperi
Ludwigia peruviana
Dendrodoris fumata
Caulerpa racemosa
Aplysia oculifera
Bornella stellifera
Spilornis cheela
Motacilla alba
Ancylocaris brevicarpalis
Stichodactyla haddoni
Mycteria leucocephala
Haliaeetus leucogaster
Anax guttatus
Junonia orithya
Papilio polytes
Papilio demoleus
Eurema hecabe
Parus minor
Spodiopsar cineraceus
Myrmaplata plataleoides
Elymnias hypermnestra
Neverita didyma
Diaphania indica
Gelasimus tetragonon
Eudocima homaena
Daphnis nerii
Theretra nessus
Euchromia polymena
Asota caricae
Loboschiza koenigiana
Aspidimorpha miliaris
Ypthima huebneri
Argyrocosma inductaria
Stenoptilodes taprobanes
Isocentris filalis
Mocis frugalis
Acanthocoris scaber
Oecophylla smaragdina
Anoplolepis gracilipes
Copsychus malabaricus
Trimezia martinicensis
Ipomoea indica
Trametes coccinea
Dicranopteris linearis
Hypselodoris infucata
Monopterus albus
Ocypode ceratophthalmus
Cocos nucifera
Schizophyllum commune
Holothuria leucospilota
Alcedo atthis
Lepidodactylus lugubris
Caesalpinia pulcherrima
Zoanthus sansibaricus
Ulva lactuca
Momordica charantia
Casuarina equisetifolia
Clerodendrum chinense
Pluvialis fulva
Sepioteuthis lessoniana
Pandanus tectorius
Lantana camara
Lampides boeticus
Solanum lycopersicum
Aix galericulata
Passer montanus
Rattus rattus
Culcita novaeguineae
Leucaena leucocephala
Sesuvium portulacastrum
Gallus gallus
Canis lupus
Felis catus
Daphnusa ocellaris
Microporus xanthopus
Angiopteris evecta
Coprinellus disseminatus
Monstera deliciosa
Bambusa vulgaris
Trigoniulus corallinus
Aeoliscus strigatus
Microhyla heymonsi
Microhyla mukhlesuri
Egretta sacra
Cassytha filiformis
Carcharhinus melanopterus
Crithagra mozambica
Cenchrus setaceus
Artemisia vulgaris
Gyps himalayensis
Trachemys scripta
Thalia geniculata
Lonicera japonica
Potentilla indica
Broussonetia papyrifera
Youngia japonica
Riparia riparia
Pomacea canaliculata
Typha angustifolia
Morinda citrifolia
Spathodea campanulata
Mayaheros urophthalmus
Halyomorpha halys
Stachytarpheta cayennensis
